text,tokens,lemmas,pos_tags,named_entities,label
El alma es un espejo que refleja el cielo de la sabiduría.,"[{'text': 'El', 'lemma': 'el', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'alma', 'lemma': 'alma', 'pos': 'NOUN', 'dep': 'nsubj', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'es', 'lemma': 'ser', 'pos': 'AUX', 'dep': 'cop', 'tag': 'AUX', 'ent_type': ''}, {'text': 'un', 'lemma': 'uno', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'espejo', 'lemma': 'espejo', 'pos': 'NOUN', 'dep': 'ROOT', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'que', 'lemma': 'que', 'pos': 'PRON', 'dep': 'nsubj', 'tag': 'PRON', 'ent_type': ''}, {'text': 'refleja', 'lemma': 'reflejar', 'pos': 'VERB', 'dep': 'acl', 'tag': 'VERB', 'ent_type': ''}, {'text': 'el', 'lemma': 'el', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'cielo', 'lemma': 'cielo', 'pos': 'NOUN', 'dep': 'obj', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'de', 'lemma': 'de', 'pos': 'ADP', 'dep': 'case', 'tag': 'ADP', 'ent_type': ''}, {'text': 'la', 'lemma': 'el', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'sabiduría', 'lemma': 'sabiduría', 'pos': 'NOUN', 'dep': 'nmod', 'tag': 'NOUN', 'ent_type': ''}, {'text': '.', 'lemma': '.', 'pos': 'PUNCT', 'dep': 'punct', 'tag': 'PUNCT', 'ent_type': ''}]","['el', 'alma', 'ser', 'uno', 'espejo', 'que', 'reflejar', 'el', 'cielo', 'de', 'el', 'sabiduría', '.']","['DET', 'NOUN', 'AUX', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']",[],1
La luna es una diosa que extiende su manto sobre la tierra.,"[{'text': 'La', 'lemma': 'el', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': 'LOC'}, {'text': 'luna', 'lemma': 'luna', 'pos': 'NOUN', 'dep': 'nsubj', 'tag': 'NOUN', 'ent_type': 'LOC'}, {'text': 'es', 'lemma': 'ser', 'pos': 'AUX', 'dep': 'cop', 'tag': 'AUX', 'ent_type': ''}, {'text': 'una', 'lemma': 'uno', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'diosa', 'lemma': 'diós', 'pos': 'ADJ', 'dep': 'ROOT', 'tag': 'ADJ', 'ent_type': ''}, {'text': 'que', 'lemma': 'que', 'pos': 'PRON', 'dep': 'obj', 'tag': 'PRON', 'ent_type': ''}, {'text': 'extiende', 'lemma': 'extender', 'pos': 'VERB', 'dep': 'acl', 'tag': 'VERB', 'ent_type': ''}, {'text': 'su', 'lemma': 'su', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'manto', 'lemma': 'manto', 'pos': 'NOUN', 'dep': 'nsubj', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'sobre', 'lemma': 'sobre', 'pos': 'ADP', 'dep': 'case', 'tag': 'ADP', 'ent_type': ''}, {'text': 'la', 'lemma': 'el', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'tierra', 'lemma': 'tierra', 'pos': 'NOUN', 'dep': 'nmod', 'tag': 'NOUN', 'ent_type': ''}, {'text': '.', 'lemma': '.', 'pos': 'PUNCT', 'dep': 'punct', 'tag': 'PUNCT', 'ent_type': ''}]","['el', 'luna', 'ser', 'uno', 'diós', 'que', 'extender', 'su', 'manto', 'sobre', 'el', 'tierra', '.']","['DET', 'NOUN', 'AUX', 'DET', 'ADJ', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","[('La luna', 'LOC')]",1
El viento susurra secretos olvidados por los dioses.,"[{'text': 'El', 'lemma': 'el', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'viento', 'lemma': 'viento', 'pos': 'NOUN', 'dep': 'nsubj', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'susurra', 'lemma': 'susurra', 'pos': 'AUX', 'dep': 'ROOT', 'tag': 'AUX', 'ent_type': ''}, {'text': 'secretos', 'lemma': 'secreto', 'pos': 'NOUN', 'dep': 'obj', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'olvidados', 'lemma': 'olvidado', 'pos': 'ADJ', 'dep': 'amod', 'tag': 'ADJ', 'ent_type': ''}, {'text': 'por', 'lemma': 'por', 'pos': 'ADP', 'dep': 'case', 'tag': 'ADP', 'ent_type': ''}, {'text': 'los', 'lemma': 'el', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'dioses', 'lemma': 'dios', 'pos': 'NOUN', 'dep': 'obj', 'tag': 'NOUN', 'ent_type': ''}, {'text': '.', 'lemma': '.', 'pos': 'PUNCT', 'dep': 'punct', 'tag': 'PUNCT', 'ent_type': ''}]","['el', 'viento', 'susurra', 'secreto', 'olvidado', 'por', 'el', 'dios', '.']","['DET', 'NOUN', 'AUX', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']",[],1
Las estrellas son los ojos del universo que observan nuestro destino.,"[{'text': 'Las', 'lemma': 'el', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'estrellas', 'lemma': 'estrella', 'pos': 'NOUN', 'dep': 'nsubj', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'son', 'lemma': 'ser', 'pos': 'AUX', 'dep': 'cop', 'tag': 'AUX', 'ent_type': ''}, {'text': 'los', 'lemma': 'el', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'ojos', 'lemma': 'ojo', 'pos': 'NOUN', 'dep': 'ROOT', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'del', 'lemma': 'del', 'pos': 'ADP', 'dep': 'case', 'tag': 'ADP', 'ent_type': ''}, {'text': 'universo', 'lemma': 'universo', 'pos': 'NOUN', 'dep': 'nmod', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'que', 'lemma': 'que', 'pos': 'PRON', 'dep': 'nsubj', 'tag': 'PRON', 'ent_type': ''}, {'text': 'observan', 'lemma': 'observar', 'pos': 'VERB', 'dep': 'advcl', 'tag': 'VERB', 'ent_type': ''}, {'text': 'nuestro', 'lemma': 'nuestro', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'destino', 'lemma': 'destino', 'pos': 'NOUN', 'dep': 'obj', 'tag': 'NOUN', 'ent_type': ''}, {'text': '.', 'lemma': '.', 'pos': 'PUNCT', 'dep': 'punct', 'tag': 'PUNCT', 'ent_type': ''}]","['el', 'estrella', 'ser', 'el', 'ojo', 'del', 'universo', 'que', 'observar', 'nuestro', 'destino', '.']","['DET', 'NOUN', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'PUNCT']",[],1
El corazón es un jardín donde florecen los sentimientos.,"[{'text': 'El', 'lemma': 'el', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'corazón', 'lemma': 'corazón', 'pos': 'NOUN', 'dep': 'nsubj', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'es', 'lemma': 'ser', 'pos': 'AUX', 'dep': 'cop', 'tag': 'AUX', 'ent_type': ''}, {'text': 'un', 'lemma': 'uno', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'jardín', 'lemma': 'jardín', 'pos': 'NOUN', 'dep': 'ROOT', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'donde', 'lemma': 'donde', 'pos': 'PRON', 'dep': 'obl', 'tag': 'PRON', 'ent_type': ''}, {'text': 'florecen', 'lemma': 'florecer', 'pos': 'VERB', 'dep': 'acl', 'tag': 'VERB', 'ent_type': ''}, {'text': 'los', 'lemma': 'el', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'sentimientos', 'lemma': 'sentimiento', 'pos': 'NOUN', 'dep': 'nsubj', 'tag': 'NOUN', 'ent_type': ''}, {'text': '.', 'lemma': '.', 'pos': 'PUNCT', 'dep': 'punct', 'tag': 'PUNCT', 'ent_type': ''}]","['el', 'corazón', 'ser', 'uno', 'jardín', 'donde', 'florecer', 'el', 'sentimiento', '.']","['DET', 'NOUN', 'AUX', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'PUNCT']",[],1
Los sueños son alas que nos elevan hacia la verdad.,"[{'text': 'Los', 'lemma': 'el', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'sueños', 'lemma': 'sueño', 'pos': 'NOUN', 'dep': 'nsubj', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'son', 'lemma': 'ser', 'pos': 'AUX', 'dep': 'cop', 'tag': 'AUX', 'ent_type': ''}, {'text': 'alas', 'lemma': 'ala', 'pos': 'NOUN', 'dep': 'ROOT', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'que', 'lemma': 'que', 'pos': 'PRON', 'dep': 'nsubj', 'tag': 'PRON', 'ent_type': ''}, {'text': 'nos', 'lemma': 'yo', 'pos': 'PRON', 'dep': 'iobj', 'tag': 'PRON', 'ent_type': ''}, {'text': 'elevan', 'lemma': 'elevar', 'pos': 'VERB', 'dep': 'acl', 'tag': 'VERB', 'ent_type': ''}, {'text': 'hacia', 'lemma': 'hacia', 'pos': 'ADP', 'dep': 'case', 'tag': 'ADP', 'ent_type': ''}, {'text': 'la', 'lemma': 'el', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'verdad', 'lemma': 'verdad', 'pos': 'NOUN', 'dep': 'obl', 'tag': 'NOUN', 'ent_type': ''}, {'text': '.', 'lemma': '.', 'pos': 'PUNCT', 'dep': 'punct', 'tag': 'PUNCT', 'ent_type': ''}]","['el', 'sueño', 'ser', 'ala', 'que', 'yo', 'elevar', 'hacia', 'el', 'verdad', '.']","['DET', 'NOUN', 'AUX', 'NOUN', 'PRON', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']",[],1
El amor es un fuego que consume todo lo que toca.,"[{'text': 'El', 'lemma': 'el', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'amor', 'lemma': 'amor', 'pos': 'NOUN', 'dep': 'nsubj', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'es', 'lemma': 'ser', 'pos': 'AUX', 'dep': 'cop', 'tag': 'AUX', 'ent_type': ''}, {'text': 'un', 'lemma': 'uno', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'fuego', 'lemma': 'fuego', 'pos': 'NOUN', 'dep': 'ROOT', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'que', 'lemma': 'que', 'pos': 'PRON', 'dep': 'nsubj', 'tag': 'PRON', 'ent_type': ''}, {'text': 'consume', 'lemma': 'consumir', 'pos': 'VERB', 'dep': 'acl', 'tag': 'VERB', 'ent_type': ''}, {'text': 'todo', 'lemma': 'todo', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'lo', 'lemma': 'él', 'pos': 'PRON', 'dep': 'det', 'tag': 'PRON', 'ent_type': ''}, {'text': 'que', 'lemma': 'que', 'pos': 'PRON', 'dep': 'obj', 'tag': 'PRON', 'ent_type': ''}, {'text': 'toca', 'lemma': 'tocar', 'pos': 'VERB', 'dep': 'ccomp', 'tag': 'VERB', 'ent_type': ''}, {'text': '.', 'lemma': '.', 'pos': 'PUNCT', 'dep': 'punct', 'tag': 'PUNCT', 'ent_type': ''}]","['el', 'amor', 'ser', 'uno', 'fuego', 'que', 'consumir', 'todo', 'él', 'que', 'tocar', '.']","['DET', 'NOUN', 'AUX', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'PRON', 'PRON', 'VERB', 'PUNCT']",[],1
Las palabras son semillas que germinan en la mente del oyente.,"[{'text': 'Las', 'lemma': 'el', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'palabras', 'lemma': 'palabra', 'pos': 'NOUN', 'dep': 'nsubj', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'son', 'lemma': 'ser', 'pos': 'AUX', 'dep': 'cop', 'tag': 'AUX', 'ent_type': ''}, {'text': 'semillas', 'lemma': 'semilla', 'pos': 'ADJ', 'dep': 'ROOT', 'tag': 'ADJ', 'ent_type': ''}, {'text': 'que', 'lemma': 'que', 'pos': 'PRON', 'dep': 'nsubj', 'tag': 'PRON', 'ent_type': ''}, {'text': 'germinan', 'lemma': 'germinar', 'pos': 'VERB', 'dep': 'acl', 'tag': 'VERB', 'ent_type': ''}, {'text': 'en', 'lemma': 'en', 'pos': 'ADP', 'dep': 'case', 'tag': 'ADP', 'ent_type': ''}, {'text': 'la', 'lemma': 'el', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'mente', 'lemma': 'mente', 'pos': 'NOUN', 'dep': 'obl', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'del', 'lemma': 'del', 'pos': 'ADP', 'dep': 'case', 'tag': 'ADP', 'ent_type': ''}, {'text': 'oyente', 'lemma': 'oyente', 'pos': 'ADV', 'dep': 'nmod', 'tag': 'ADV', 'ent_type': ''}, {'text': '.', 'lemma': '.', 'pos': 'PUNCT', 'dep': 'punct', 'tag': 'PUNCT', 'ent_type': ''}]","['el', 'palabra', 'ser', 'semilla', 'que', 'germinar', 'en', 'el', 'mente', 'del', 'oyente', '.']","['DET', 'NOUN', 'AUX', 'ADJ', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'ADV', 'PUNCT']",[],1
El tiempo es un río que nunca cesa de fluir.,"[{'text': 'El', 'lemma': 'el', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'tiempo', 'lemma': 'tiempo', 'pos': 'NOUN', 'dep': 'nsubj', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'es', 'lemma': 'ser', 'pos': 'AUX', 'dep': 'cop', 'tag': 'AUX', 'ent_type': ''}, {'text': 'un', 'lemma': 'uno', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'río', 'lemma': 'río', 'pos': 'NOUN', 'dep': 'ROOT', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'que', 'lemma': 'que', 'pos': 'PRON', 'dep': 'nsubj', 'tag': 'PRON', 'ent_type': ''}, {'text': 'nunca', 'lemma': 'nunca', 'pos': 'ADV', 'dep': 'advmod', 'tag': 'ADV', 'ent_type': ''}, {'text': 'cesa', 'lemma': 'cesar', 'pos': 'VERB', 'dep': 'acl', 'tag': 'VERB', 'ent_type': ''}, {'text': 'de', 'lemma': 'de', 'pos': 'ADP', 'dep': 'mark', 'tag': 'ADP', 'ent_type': ''}, {'text': 'fluir', 'lemma': 'fluir', 'pos': 'VERB', 'dep': 'xcomp', 'tag': 'VERB', 'ent_type': ''}, {'text': '.', 'lemma': '.', 'pos': 'PUNCT', 'dep': 'punct', 'tag': 'PUNCT', 'ent_type': ''}]","['el', 'tiempo', 'ser', 'uno', 'río', 'que', 'nunca', 'cesar', 'de', 'fluir', '.']","['DET', 'NOUN', 'AUX', 'DET', 'NOUN', 'PRON', 'ADV', 'VERB', 'ADP', 'VERB', 'PUNCT']",[],1
Sus ojos eran dos luceros que iluminaban la oscuridad de su alma.,"[{'text': 'Sus', 'lemma': 'su', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'ojos', 'lemma': 'ojo', 'pos': 'NOUN', 'dep': 'nsubj', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'eran', 'lemma': 'ser', 'pos': 'AUX', 'dep': 'cop', 'tag': 'AUX', 'ent_type': ''}, {'text': 'dos', 'lemma': 'dos', 'pos': 'NUM', 'dep': 'nummod', 'tag': 'NUM', 'ent_type': ''}, {'text': 'luceros', 'lemma': 'lucero', 'pos': 'NOUN', 'dep': 'ROOT', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'que', 'lemma': 'que', 'pos': 'PRON', 'dep': 'nsubj', 'tag': 'PRON', 'ent_type': ''}, {'text': 'iluminaban', 'lemma': 'iluminar', 'pos': 'VERB', 'dep': 'acl', 'tag': 'VERB', 'ent_type': ''}, {'text': 'la', 'lemma': 'el', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'oscuridad', 'lemma': 'oscuridad', 'pos': 'NOUN', 'dep': 'obj', 'tag': 'NOUN', 'ent_type': ''}, {'text': 'de', 'lemma': 'de', 'pos': 'ADP', 'dep': 'case', 'tag': 'ADP', 'ent_type': ''}, {'text': 'su', 'lemma': 'su', 'pos': 'DET', 'dep': 'det', 'tag': 'DET', 'ent_type': ''}, {'text': 'alma', 'lemma': 'alma', 'pos': 'NOUN', 'dep': 'nmod', 'tag': 'NOUN', 'ent_type': ''}, {'text': '.', 'lemma': '.', 'pos': 'PUNCT', 'dep': 'punct', 'tag': 'PUNCT', 'ent_type': ''}]","['su', 'ojo', 'ser', 'dos', 'lucero', 'que', 'iluminar', 'el', 'oscuridad', 'de', 'su', 'alma', '.']","['DET', 'NOUN', 'AUX', 'NUM', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']",[],1
