sentence1,sentence2,sentence3,label
Luchamos por la libertad hoy.,Luchamos por la justicia mañana.,Luchamos por la verdad siempre.,1
Hoy marchamos por ellos hoy.,Hoy marchamos por nosotros mañana.,Hoy marchamos por todos siempre.,1
Queremos justicia hoy.,Queremos igualdad mañana.,Queremos paz siempre.,1
María viajó a París.,Visitó museos.,Probó comida francesa.,0
Creemos en la paz hoy.,Creemos en la unión mañana.,Creemos en el cambio siempre.,1
Nunca caemos hoy.,Nunca huimos mañana.,Nunca olvidamos siempre.,1
Gritamos por igualdad.,Gritamos por respeto.,Gritamos por dignidad.,1
Ayer fui al supermercado en casa.,Compré frutas y verduras en la tarde.,Luego regresé a casa sin prisa.,0
Hoy está nublado en casa.,Mañana lloverá en la tarde.,Pasado mañana hará sol sin prisa.,0
Luchamos por la libertad hoy.,Luchamos por la justicia mañana.,Luchamos por la verdad siempre.,1
Creemos en la paz hoy.,Creemos en la unión mañana.,Creemos en el cambio siempre.,1
Tomé café por la mañana en casa.,Luego fui a trabajar en la tarde.,Después salí a caminar sin prisa.,0
Nunca caemos hoy.,Nunca huimos mañana.,Nunca olvidamos siempre.,1
Estoy leyendo un libro en casa.,Es sobre historia antigua en la tarde.,Me resulta fascinante sin prisa.,0
Estoy leyendo un libro.,Es sobre historia antigua.,Me resulta fascinante.,0
Mi hermana estudia medicina en casa.,Mi primo trabaja en una tienda en la tarde.,Mi madre cocina todos los días sin prisa.,0
Caminamos por el futuro hoy.,Caminamos por la esperanza mañana.,Caminamos por nuestros hijos siempre.,1
Luchamos por la libertad hoy.,Luchamos por la justicia mañana.,Luchamos por la verdad siempre.,1
Hoy es lunes en casa.,Tengo muchas reuniones en la tarde.,Espero terminar temprano sin prisa.,0
Nunca caemos hoy.,Nunca huimos mañana.,Nunca olvidamos siempre.,1
Nunca caemos hoy.,Nunca huimos mañana.,Nunca olvidamos siempre.,1
Luchamos por la libertad hoy.,Luchamos por la justicia mañana.,Luchamos por la verdad siempre.,1
Gritamos por igualdad hoy.,Gritamos por respeto mañana.,Gritamos por dignidad siempre.,1
María viajó a París en casa.,Visitó museos en la tarde.,Probó comida francesa sin prisa.,0
