Metaphor Sentence,Source File
"Antes de , en esa etapa de su vida anterior a los recuerdos, Leonor López, su madre, sus hermanas y las hijas del monarca fueron llevadas a Bayona como rehenes por Martín López y por Pedro I, en el marco de las negociaciones de este con el príncipe Negro durante el exilio del rey de Castilla",Memorias
"La acogió entonces en Córdoba su tía abuela materna María García Carrillo, señora de Aguilar, en unas casas cercanas a las suyas junto a la colegiata de San Hipólito",Memorias
"O tal vez Leonor solicitara el documento con el fin de evitar en el futuro conflictos patrimoniales con su marido, si la dote no había llegado a pagarse a consecuencia de las dificultades familiares, económicas y políticas vividas por Leonor a raíz del cambio de dinastía en Castilla",Memorias
"Su marido, sin embargo, desaparece del relato de las Memorias",Memorias
"Comenzó, en cambio, una estrecha relación con la Virgen, que le inspira y le ayuda en sus asuntos económicos y familiares",Memorias
"Unos años antes en  y en , el obispo de Córdoba, previa consulta real, había concedido permiso al prior y canónigos de San Hipólito para que vendieran unos corrales entre la iglesia y el muro de la ciudad",Memorias
"por esos años, movida por la piedad y el amor de Dios, Leonor había adoptado y criado un niño judío al que bautizó como Alonso, que se había quedado huérfano durante el asalto a la judería de Córdoba a principios de agosto de  interpreta ella el cumplimiento de su sueño como recompensa por esta obra de amor divino",Memorias
El jabón producía una renta interesante,Memorias
"Cuando ya ha obtenido sus primeros deseos y estaba instalada en su casa junto a San Hipólito de Córdoba, precisamente donde ella quería y donde le indicó la Virgen, estalló la peste de  , que afectó a la ciudad de Córdoba durante los meses de marzo, abril, mayo y junio de ese año",Memorias
"Entre cambios de humor y amarguras incontables, entre las que destaca la enemistad con sus primas las hijas de su protectora, Leonor relata los estragos de la peste, que entró en Aguilar y en su familia por medio de ella, concretamente traída por el judío Alonso que Leonor había recogido huérfano y bautizado en Córdoba después de las matanzas de",Memorias
"Leonor fue entonces expulsada de hecho de Aguilar por sus parientes y regresó a Córdoba, donde su tía y protectora rompió con ella",Memorias
"Entre  y mediados de  , cuando tenía unos cuarenta años, Leonor dictó sus Memorias a un escribano público o notario de Córdoba",Memorias
"Era hija de Juan de Gante, duque de Lancáster, y de Constanza de Castilla, hija de María de padilla y de Pedro I, madrina y compañera de infancia de Leonor López de Córdoba",Memorias
Tuvo dificultades para entenderse con la reina desde el inicio de la regencia,Memorias
"En  dio un golpe de estado contra la reina y su valida, sin conseguir destruir la relación entre ambas, pero erigiéndose de hecho en regente único",Memorias
"El golpe incluyó, sin embargo, una grave campaña de difamación contra Leonor López de Córdoba, que él mismo explicó en una carta escrita en Guadalajara el  de septiembre de  y dirigida a la ciudad de Murcia",Memorias
"pero, en , en un contexto confuso en el que Leonor intentó volver al lado de Catalina, con permiso del omnipotente regente, y la reina fue inducida a temer que Leonor López se hubiera aliado con Fernando de Antequera, se produjo la ruptura entra ambas mujeres, y el alejamiento definitivo de Leonor de la corte",Memorias
La reina declaró que si se acercaba la mandaría quemar,Memorias
"En estas casas, llamadas del rey Almanzor, se hizo en el siglo XVIII el Hospital Salazar, hoy Facultad de Filosofía y Letras de la Universidad de Córdoba",Memorias
"A la capilla de la Trinidad, hoy se le llama de la Virgen del Rosario, un culto muy antiguo dentro de esa capilla",Memorias
Las Memorias Las Memorias son un relato a viva voz de las extraordinarias vivencias de la autora en sus primeros cuarenta años,Memorias
"Terminan con la muerte de su hijo mayor y la ruptura con su tía y protectora, sin ninguna alusión a la etapa brillante de valida de la reina ni a su caída en desgracia",Memorias
Leonor dictó su texto con la intención explícita de que su versión de la verdadera historia de su vida perdurara en la memoria de la gente que oyera leer su relato,Memorias
"Su estilo es extraordinariamente libre, escueto y certero, adecuado siempre a la expresión de los sentimientos más dispares y de más variada intensidad sentimientos que van de la dulzura a la ira, del amor a la deseperación, de la piedad al horror, de la incertidumbre a la visión y a la confianza",Memorias
"Describe con precisión y belleza acontecimientos de su tiempo como las epidemias de peste de  y    , o algunas consecuencias del asalto a la judería de Córdoba en  también, las relaciones que civilizan la convivencia con sus tías y primas, con los seguidores de su padre, con sus criadas y criados, con la enfermedad y la pobreza, con sus enemigas, con sus propios duendes y demonios",Memorias
Su vida es testimonio de la época en que el reino de LeónCastilla cambió sus sentimientos de         admiración hacia el Oriente andalusí por Europa,Memorias
